"id.exposure","id.outcome","outcome","exposure","method","nsnp","b","se","pval","exposure_name","outcome_id"
"et3Eus","ieu-b-5086","Sepsis (28 day death) || id:ieu-b-5086","exposure","Inverse variance weighted",25,0.0112119085109713,0.0124047210241937,0.366079159654151,"CD45 on CD8br","ieu-b-5086"
"et3Eus","ieu-b-5086","Sepsis (28 day death) || id:ieu-b-5086","exposure","Weighted median",25,0.0115774495243657,0.0156918837884577,0.460636858361735,"CD45 on CD8br","ieu-b-5086"
"et3Eus","ieu-b-5086","Sepsis (28 day death) || id:ieu-b-5086","exposure","MR Egger",25,0.019210833867051,0.0133928500200929,0.164913252194953,"CD45 on CD8br","ieu-b-5086"
"et3Eus","ieu-b-5086","Sepsis (28 day death) || id:ieu-b-5086","exposure","Weighted mode",25,0.0128102085245635,0.0140073877172202,0.369534468091662,"CD45 on CD8br","ieu-b-5086"
"et3Eus","ieu-b-5086","Sepsis (28 day death) || id:ieu-b-5086","exposure","Simple mode",25,0.00598615867893815,0.0188567246486583,0.753643893421144,"CD45 on CD8br","ieu-b-5086"
"et3Eus","ieu-b-4981","Sepsis (28 day death in critical care) || id:ieu-b-4981","exposure","Inverse variance weighted",25,0.0534257319774441,0.035437878628781,0.131659923420094,"CD45 on CD8br","ieu-b-4981"
"et3Eus","ieu-b-4981","Sepsis (28 day death in critical care) || id:ieu-b-4981","exposure","Weighted median",25,0.0243001829114116,0.0394364033670024,0.537771377973175,"CD45 on CD8br","ieu-b-4981"
"et3Eus","ieu-b-4981","Sepsis (28 day death in critical care) || id:ieu-b-4981","exposure","MR Egger",25,0.0522651807362555,0.0399035011462614,0.203199666614935,"CD45 on CD8br","ieu-b-4981"
"et3Eus","ieu-b-4981","Sepsis (28 day death in critical care) || id:ieu-b-4981","exposure","Weighted mode",25,0.0439292761960397,0.0346604094151224,0.217165397898981,"CD45 on CD8br","ieu-b-4981"
"et3Eus","ieu-b-4981","Sepsis (28 day death in critical care) || id:ieu-b-4981","exposure","Simple mode",25,0.0891507645559964,0.0467400973480914,0.0685094739939107,"CD45 on CD8br","ieu-b-4981"
"tkJcah","ieu-b-5086","Sepsis (28 day death) || id:ieu-b-5086","exposure","Inverse variance weighted",23,-0.0457007933427849,0.0355335960456829,0.198397995640764,"CD8br AC","ieu-b-5086"
"tkJcah","ieu-b-5086","Sepsis (28 day death) || id:ieu-b-5086","exposure","Weighted median",23,-0.0125800251821229,0.0412826788376974,0.760572639178779,"CD8br AC","ieu-b-5086"
"tkJcah","ieu-b-5086","Sepsis (28 day death) || id:ieu-b-5086","exposure","MR Egger",23,-0.0115841041388786,0.0433934043122097,0.792107494211092,"CD8br AC","ieu-b-5086"
"tkJcah","ieu-b-5086","Sepsis (28 day death) || id:ieu-b-5086","exposure","Weighted mode",23,-0.0119567652076067,0.03582210186157,0.741704851601884,"CD8br AC","ieu-b-5086"
"tkJcah","ieu-b-5086","Sepsis (28 day death) || id:ieu-b-5086","exposure","Simple mode",23,-0.0704807265330057,0.0816090676215461,0.397104850050665,"CD8br AC","ieu-b-5086"
"tkJcah","ieu-b-4981","Sepsis (28 day death in critical care) || id:ieu-b-4981","exposure","Inverse variance weighted",23,-0.0513099149171804,0.0686950065548799,0.455109738098782,"CD8br AC","ieu-b-4981"
"tkJcah","ieu-b-4981","Sepsis (28 day death in critical care) || id:ieu-b-4981","exposure","Weighted median",23,0.0571083088321974,0.0967716112578293,0.555100186955677,"CD8br AC","ieu-b-4981"
"tkJcah","ieu-b-4981","Sepsis (28 day death in critical care) || id:ieu-b-4981","exposure","MR Egger",23,0.0150627795743237,0.0854139515055258,0.861708318896668,"CD8br AC","ieu-b-4981"
"tkJcah","ieu-b-4981","Sepsis (28 day death in critical care) || id:ieu-b-4981","exposure","Weighted mode",23,0.00466433512613706,0.085327942348672,0.956899827943153,"CD8br AC","ieu-b-4981"
"tkJcah","ieu-b-4981","Sepsis (28 day death in critical care) || id:ieu-b-4981","exposure","Simple mode",23,-0.00149583625646765,0.156568207672142,0.992463318530227,"CD8br AC","ieu-b-4981"
"fTJwBk","ieu-b-5086","Sepsis (28 day death) || id:ieu-b-5086","exposure","Inverse variance weighted",21,-0.208737997745381,0.0607547572400407,0.00059092170730336,"IgD+ CD24+ %B cell","ieu-b-5086"
"fTJwBk","ieu-b-5086","Sepsis (28 day death) || id:ieu-b-5086","exposure","Weighted median",21,-0.193999845689538,0.0884467205158145,0.0282779139789842,"IgD+ CD24+ %B cell","ieu-b-5086"
"fTJwBk","ieu-b-5086","Sepsis (28 day death) || id:ieu-b-5086","exposure","MR Egger",21,-0.209219935573525,0.121657679890358,0.101727419739443,"IgD+ CD24+ %B cell","ieu-b-5086"
"fTJwBk","ieu-b-5086","Sepsis (28 day death) || id:ieu-b-5086","exposure","Weighted mode",21,-0.196376026589006,0.100371784517028,0.0645171700360746,"IgD+ CD24+ %B cell","ieu-b-5086"
"fTJwBk","ieu-b-5086","Sepsis (28 day death) || id:ieu-b-5086","exposure","Simple mode",21,-0.237140790499793,0.126752656170374,0.076064553065655,"IgD+ CD24+ %B cell","ieu-b-5086"
"fTJwBk","ieu-b-4981","Sepsis (28 day death in critical care) || id:ieu-b-4981","exposure","Inverse variance weighted",21,-0.468959227500913,0.143149583469343,0.00105285456465607,"IgD+ CD24+ %B cell","ieu-b-4981"
"fTJwBk","ieu-b-4981","Sepsis (28 day death in critical care) || id:ieu-b-4981","exposure","Weighted median",21,-0.557403897763606,0.213854490806225,0.0091482607121413,"IgD+ CD24+ %B cell","ieu-b-4981"
"fTJwBk","ieu-b-4981","Sepsis (28 day death in critical care) || id:ieu-b-4981","exposure","MR Egger",21,-0.367700821830368,0.286616396799507,0.214955868136263,"IgD+ CD24+ %B cell","ieu-b-4981"
