"id.exposure","id.outcome","outcome","exposure","method","Q","Q_df","Q_pval","exposure_name","outcome_id"
"et3Eus","ieu-b-5086","Sepsis (28 day death) || id:ieu-b-5086","exposure","MR Egger",25.6702249771655,23,0.316679381155611,"CD45 on CD8br","ieu-b-5086"
"et3Eus","ieu-b-5086","Sepsis (28 day death) || id:ieu-b-5086","exposure","Inverse variance weighted",27.9201011856023,24,0.263424418378251,"CD45 on CD8br","ieu-b-5086"
"et3Eus","ieu-b-4981","Sepsis (28 day death in critical care) || id:ieu-b-4981","exposure","MR Egger",41.4036498588432,23,0.0106440582188641,"CD45 on CD8br","ieu-b-4981"
"et3Eus","ieu-b-4981","Sepsis (28 day death in critical care) || id:ieu-b-4981","exposure","Inverse variance weighted",41.4122441753863,24,0.0150028329417996,"CD45 on CD8br","ieu-b-4981"
"tkJcah","ieu-b-5086","Sepsis (28 day death) || id:ieu-b-5086","exposure","MR Egger",30.3836474814392,21,0.0845454515284087,"CD8br AC","ieu-b-5086"
"tkJcah","ieu-b-5086","Sepsis (28 day death) || id:ieu-b-5086","exposure","Inverse variance weighted",32.92612066901,22,0.0629206532091659,"CD8br AC","ieu-b-5086"
"tkJcah","ieu-b-4981","Sepsis (28 day death in critical care) || id:ieu-b-4981","exposure","MR Egger",13.318780150014,21,0.897048345549966,"CD8br AC","ieu-b-4981"
"tkJcah","ieu-b-4981","Sepsis (28 day death in critical care) || id:ieu-b-4981","exposure","Inverse variance weighted",15.0285676811468,22,0.861009080259696,"CD8br AC","ieu-b-4981"
"fTJwBk","ieu-b-5086","Sepsis (28 day death) || id:ieu-b-5086","exposure","MR Egger",16.6001349253276,19,0.616937550887884,"IgD+ CD24+ %B cell","ieu-b-5086"
"fTJwBk","ieu-b-5086","Sepsis (28 day death) || id:ieu-b-5086","exposure","Inverse variance weighted",16.6001558322184,20,0.678763597152591,"IgD+ CD24+ %B cell","ieu-b-5086"
"fTJwBk","ieu-b-4981","Sepsis (28 day death in critical care) || id:ieu-b-4981","exposure","MR Egger",18.6746225951633,19,0.477880629649675,"IgD+ CD24+ %B cell","ieu-b-4981"
"fTJwBk","ieu-b-4981","Sepsis (28 day death in critical care) || id:ieu-b-4981","exposure","Inverse variance weighted",18.8409174008195,20,0.532187172964369,"IgD+ CD24+ %B cell","ieu-b-4981"
"gK8bRL","ieu-b-5086","Sepsis (28 day death) || id:ieu-b-5086","exposure","MR Egger",29.5192909157727,26,0.288002386527388,"SSC-A on HLA-DR+ NK","ieu-b-5086"
"gK8bRL","ieu-b-5086","Sepsis (28 day death) || id:ieu-b-5086","exposure","Inverse variance weighted",31.4156318134676,27,0.254417611464041,"SSC-A on HLA-DR+ NK","ieu-b-5086"
"gK8bRL","ieu-b-4981","Sepsis (28 day death in critical care) || id:ieu-b-4981","exposure","MR Egger",24.710358512632,26,0.535414166807525,"SSC-A on HLA-DR+ NK","ieu-b-4981"
"gK8bRL","ieu-b-4981","Sepsis (28 day death in critical care) || id:ieu-b-4981","exposure","Inverse variance weighted",24.8654137706432,27,0.582004303813349,"SSC-A on HLA-DR+ NK","ieu-b-4981"
"rtmsi1","ieu-b-5086","Sepsis (28 day death) || id:ieu-b-5086","exposure","MR Egger",26.4165175524776,24,0.332374843033601,"SSC-A on plasmacytoid DC","ieu-b-5086"
"rtmsi1","ieu-b-5086","Sepsis (28 day death) || id:ieu-b-5086","exposure","Inverse variance weighted",26.4738507119684,25,0.382669207956131,"SSC-A on plasmacytoid DC","ieu-b-5086"
"rtmsi1","ieu-b-4981","Sepsis (28 day death in critical care) || id:ieu-b-4981","exposure","MR Egger",22.7127763039838,24,0.536802273712159,"SSC-A on plasmacytoid DC","ieu-b-4981"
"rtmsi1","ieu-b-4981","Sepsis (28 day death in critical care) || id:ieu-b-4981","exposure","Inverse variance weighted",24.5504705316161,25,0.487779074193657,"SSC-A on plasmacytoid DC","ieu-b-4981"
