"id.exposure","id.outcome","outcome","exposure","egger_intercept","se","pval","exposure_name","outcome_id"
"et3Eus","ieu-b-5086","Sepsis (28 day death) || id:ieu-b-5086","exposure",-0.0202661710892622,0.0142739217796831,0.169077823236407,"CD45 on CD8br","ieu-b-5086"
"et3Eus","ieu-b-4981","Sepsis (28 day death in critical care) || id:ieu-b-4981","exposure",0.00295046118310184,0.042701155593917,0.945510756337271,"CD45 on CD8br","ieu-b-4981"
"tkJcah","ieu-b-5086","Sepsis (28 day death) || id:ieu-b-5086","exposure",-0.0190953498684304,0.0144048830315461,0.199207696643584,"CD8br AC","ieu-b-5086"
"tkJcah","ieu-b-4981","Sepsis (28 day death in critical care) || id:ieu-b-4981","exposure",-0.0369551823971468,0.0282620901480649,0.205148146724523,"CD8br AC","ieu-b-4981"
"fTJwBk","ieu-b-5086","Sepsis (28 day death) || id:ieu-b-5086","exposure",0.000107436625052783,0.0234967410730259,0.996399428636296,"IgD+ CD24+ %B cell","ieu-b-5086"
"fTJwBk","ieu-b-4981","Sepsis (28 day death in critical care) || id:ieu-b-4981","exposure",-0.0225825569694189,0.0553775544203208,0.687984356129059,"IgD+ CD24+ %B cell","ieu-b-4981"
"gK8bRL","ieu-b-5086","Sepsis (28 day death) || id:ieu-b-5086","exposure",-0.0183249006877022,0.0141791341193,0.207592421035953,"SSC-A on HLA-DR+ NK","ieu-b-5086"
"gK8bRL","ieu-b-4981","Sepsis (28 day death in critical care) || id:ieu-b-4981","exposure",0.0123367275397976,0.0313297352070978,0.696961281239466,"SSC-A on HLA-DR+ NK","ieu-b-4981"
"rtmsi1","ieu-b-5086","Sepsis (28 day death) || id:ieu-b-5086","exposure",0.00361796238617903,0.0158523360864216,0.82140159789458,"SSC-A on plasmacytoid DC","ieu-b-5086"
"rtmsi1","ieu-b-4981","Sepsis (28 day death in critical care) || id:ieu-b-4981","exposure",0.0483248062219519,0.0356478626333123,0.187841931138515,"SSC-A on plasmacytoid DC","ieu-b-4981"
